name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
Shannon Gugerty,15,7,0,177.8,70.31,180.34,Orthodox,1.25,39.0,1.88,58.0,2.13,27.0,50.0,3.4,1.0142857142857142
Allen Berube,4,3,0,172.72,70.31,177.244375,Orthodox,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,1.0261948529411764
Tim Credeur,12,4,0,190.5,83.91,190.5,Orthodox,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,1.0
Daisuke Sugie,10,8,1,167.64,72.57,171.26154838709675,Orthodox,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,1.0216031280547408
Herbert Burns,11,4,0,175.26,65.77,185.42,Orthodox,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3,1.0579710144927537
Edwin DeWees,38,17,0,185.42,83.91,190.05953757225436,Orthodox,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,1.0250217752791198
Ricardo Romero,11,3,0,182.88,92.99,193.04,Orthodox,2.17,55.0,4.77,46.0,1.63,10.0,100.0,3.3,1.0555555555555556
Rob Broughton,16,7,1,187.96,120.2,187.96,Orthodox,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,1.0
Ryuichi Murata,8,3,1,172.72,83.01,177.244375,Orthodox,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,1.0261948529411764
Roman Zentsov,18,12,0,185.42,104.33,190.05953757225436,Orthodox,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,1.0250217752791198
Dmitry Sosnovskiy,11,0,0,190.5,108.86,195.58,Orthodox,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,1.0266666666666668
Jesse Taylor,31,15,0,182.88,77.11,185.42,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,1.0138888888888888
Alexandre Dantas,0,3,0,187.96,107.95,192.34385185185187,Orthodox,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,1.0233233233233234
Kevin Jousset,9,2,0,187.96,77.11,190.5,Orthodox,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,1.0135135135135134
Manny Bermudez,14,2,0,177.8,65.77,180.34,Orthodox,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,1.0142857142857142
Eric Lawson,9,5,0,182.88,83.91,187.28926406926408,Orthodox,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,1.0241101491101492
Sidney Outlaw,8,4,0,172.72,77.11,187.96,Orthodox,0.13,33.0,0.8,71.0,3.0,75.0,0.0,3.0,1.0882352941176472
Maiquel Falcao,37,10,0,180.34,83.91,184.94287292817683,Orthodox,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0,1.0255233055793325
Samandar Murodov,8,0,0,185.42,77.11,190.5,Orthodox,3.41,80.0,0.8,0.0,3.01,100.0,0.0,3.0,1.0273972602739727
Katsuaki Furuki,1,1,0,182.88,76.2,187.28926406926408,Orthodox,0.27,10.0,2.67,39.0,0.0,0.0,0.0,3.0,1.0241101491101492
Matt Secor,8,4,0,182.88,77.11,187.28926406926408,Orthodox,0.51,20.0,0.81,50.0,3.03,100.0,0.0,3.0,1.0241101491101492
Danny Mitchell,19,9,1,187.96,77.11,192.34385185185187,Orthodox,2.53,49.0,2.53,52.0,0.0,0.0,100.0,3.0,1.0233233233233234
Adam Piccolotti,9,0,0,180.34,70.31,184.94287292817683,Orthodox,4.61,50.0,2.83,71.0,2.96,60.0,100.0,3.0,1.0255233055793325
